RR1  RR2  SHAMT WREG WD   CLR  WR   SHE  DIR  RD1  RD2  
0    0    0     0    0000 1    0    0    0    0000 0000 
0    0    0     1    0059 0    1    0    0    0000 0000 
0    0    0     2    0048 0    1    0    0    0000 0000 
0    0    0     3    007B 0    1    0    0    0000 0000 
0    0    0     4    0035 0    1    0    0    0000 0000 
1    2    0     4    0035 0    0    0    0    0059 0048 
3    4    0     4    0035 0    0    0    0    007B 0035 
1    4    3     2    0035 0    1    1    1    0059 0035 
3    4    5     4    0035 0    1    1    0    007B 0035 
1    2    5     4    0035 0    0    0    0    0059 02C8 
3    4    5     4    0035 0    0    0    0    007B 0003 
3    4    5     4    0035 1    0    0    0    0000 0000 
